District,State,Growth,Sex_Ratio,Literacy,,Cities,Growth,Sex_Ratio,Literacy,Total_Population,popu.dens.,,Cities,Sex_Ratio,Literacy,popu.dens.
Narsimhapur,Madhya Pradesh,14.01,920,75.69,,,,,,,,,,,,
Shahdol,Madhya Pradesh,17.39,974,66.67,,,,,,,,,,,,
Mandla,Madhya Pradesh,17.97,1008,66.87,,,,,,,,,,,,
Jhabua,Madhya Pradesh,30.7,990,43.3,,,,,,,,,,,,
Panna,Madhya Pradesh,18.67,905,64.79,,,,,,,,,,,,
Ashoknagar,Madhya Pradesh,22.66,904,66.42,,,,,,,,,,,,
Neemuch,Madhya Pradesh,13.77,954,70.8,,,,,,,,,,,,
Datia,Madhya Pradesh,18.46,873,72.63,,,,,,,,,,,,
Burhanpur,Madhya Pradesh,19.37,951,64.36,,,,,,,,,,,,
Anuppur,Madhya Pradesh,12.3,976,67.88,,,,,,,,,,,,
Alirajpur,Madhya Pradesh,19.45,1011,36.1,,,,,,,,,,,,
Dindori,Madhya Pradesh,21.32,1002,63.9,,,,,,,,,,,,
Sheopur,Madhya Pradesh,22.94,901,57.43,,,,,,,,,,,,
Umaria,Madhya Pradesh,24.96,950,65.89,,,,,,,,,,,,
Harda,Madhya Pradesh,20.25,935,72.5,,,,,,,,,,,,
Thane,Maharashtra,36.01,886,84.53,,,,,,,,,,,,
Pune,Maharashtra,30.37,915,86.15,,,,,,,,,,,,
Mumbai Suburban,Maharashtra,8.29,860,89.91,,,,,,,,,,,,
Nashik,Maharashtra,22.3,934,82.31,,,,,,,,,,,,
Nagpur,Maharashtra,14.4,951,88.39,,,,,,,,,,,,
Ahmadnagar,Maharashtra,12.44,939,79.05,,,,,,,,,,,,
Solapur,Maharashtra,12.16,938,77.02,,,,,,,,,,,,
Jalgaon,Maharashtra,14.86,925,78.2,,,,,,,,,,,,
Kolhapur,Maharashtra,10.01,957,81.51,,,,,,,,,,,,
Aurangabad,Maharashtra,27.76,923,79.02,,,,,,,,,,,,
Nanded,Maharashtra,16.86,943,75.45,,,,,,,,,,,,
Mumbai City,Maharashtra,-7.57,832,89.21,,,,,,,,,,,,
Satara,Maharashtra,6.93,988,82.87,,,,,,,,,,,,
Amravati,Maharashtra,10.79,951,87.38,,,,,,,,,,,,
Sangli,Maharashtra,9.24,966,81.48,,,,,,,,,,,,
Yavatmal,Maharashtra,12.78,952,82.82,,,,,,,,,,,,
Raigarh,Maharashtra,19.31,959,83.14,,,,,,,,,,,,
Buldana,Maharashtra,15.85,934,83.4,,,,,,,,,,,,
Bid,Maharashtra,19.61,916,76.99,,,,,,,,,,,,
Latur,Maharashtra,17.97,928,77.26,,,,,,,,,,,,
Chandrapur,Maharashtra,6.43,961,80.01,,,,,,,,,,,,
Dhule,Maharashtra,20.08,946,72.8,,,,,,,,,,,,
Jalna,Maharashtra,21.46,937,71.52,,,,,,,,,,,,
Parbhani,Maharashtra,20.19,947,73.34,,,,,,,,,,,,
Akola,Maharashtra,11.27,946,88.05,,,,,,,,,,,,
Osmanabad,Maharashtra,11.5,924,78.44,,,,,,,,,,,,
Nandurbar,Maharashtra,25.66,978,64.38,,,,,,,,,,,,
Ratnagiri,Maharashtra,-4.82,1122,82.18,,,,,,,,,,,,
Gondiya,Maharashtra,10.14,999,84.95,,,,,,,,,,,,
Wardha,Maharashtra,5.18,946,86.99,,,,,,,,,,,,
Bhandara,Maharashtra,5.65,982,83.76,,,,,,,,,,,,
